,Year,Film,Nominees,FilmLink,Won
283,1988 (61st),Technological Threat,Brian Jennings & Bill Kroyer,/wiki/Technological_Threat,False
284,1989 (62nd),,,,False
285,1989 (62nd),Balance,Wolfgang & Christoph Lauenstein,/wiki/Balance_(1989_film),True
286,1989 (62nd),The Cow,Aleksandr Petrov,/wiki/The_Cow_(1989_film),False
287,1989 (62nd),The Hill Farm,Mark Baker,/wiki/Mark_Baker_(animator),False
288,1990 (63rd),,,,False
289,1990 (63rd),Creature Comforts,Nick Park,/wiki/Creature_Comforts,True
290,1990 (63rd),A Grand Day Out,Nick Park,/wiki/A_Grand_Day_Out,False
291,1990 (63rd),Grasshoppers,Bruno Bozzetto,/wiki/Grasshoppers_(Cavallette),False
292,1991 (64th),,,,False
293,1991 (64th),Manipulation,Daniel Greaves,/wiki/Manipulation_(film),True
294,1991 (64th),Blackfly,Christopher Hinton,/wiki/Blackfly_(film),False
295,1991 (64th),Strings,Wendy Tilby,/wiki/Strings_(1991_film),False
296,1992 (65th),,,,False
297,1992 (65th),Mona Lisa Descending a Staircase,Joan C. Gratz,/wiki/Mona_Lisa_Descending_a_Staircase,True
298,1992 (65th),Adam,Peter Lord,/wiki/Adam_(1992_film),False
299,1992 (65th),"Reci, Reci, Reci...",Michaela Pavlátová,/wiki/Michaela_Pavl%C3%A1tov%C3%A1,False
300,1992 (65th),The Sandman,Paul Berry,/wiki/The_Sandman_(1991_film),False
301,1992 (65th),Screen Play,Barry Purves,/wiki/Barry_Purves,False
302,1993 (66th),,,,False
303,1993 (66th),The Wrong Trousers,Nick Park,/wiki/The_Wrong_Trousers,True
304,1993 (66th),Blindscape,Stephen Palmer,,False
305,1993 (66th),The Mighty River,Frédéric Back & Hubert Tison,/wiki/The_Mighty_River,False
306,1993 (66th),Small Talk,Kevin Baldwin & Bob Godfrey,,False
307,1993 (66th),The Village,Mark Baker,/wiki/The_Village_(Animation),False
308,1994 (67th),,,,False
309,1994 (67th),Bob's Birthday,David Fine & Alison Snowden,/wiki/Bob%27s_Birthday,True
310,1994 (67th),The Big Story,David Stoten & Tim Watts,/wiki/The_Big_Story_(1994_film),False
311,1994 (67th),The Janitor,Vanessa Schwartz,,False
312,1994 (67th),The Monk and the Fish,Michaël Dudok de Wit,/wiki/The_Monk_and_the_Fish,False
313,1994 (67th),Triangle,Erica Russell,,False
314,1995 (68th),,,,False
315,1995 (68th),A Close Shave,Nick Park,/wiki/A_Close_Shave,True
316,1995 (68th),The Chicken from Outer Space,John R. Dilworth,/wiki/The_Chicken_from_Outer_Space,False
317,1995 (68th),The End,Robin Bargar & Chris Landreth,,False
318,1995 (68th),Gagarin,Alexij Kharitidi,,False
319,1995 (68th),Runaway Brain,Chris Bailey,/wiki/Runaway_Brain,False
320,1996 (69th),,,,False
321,1996 (69th),Quest,Tyron Montgomery & Thomas Stellmach,/wiki/Quest_(1996_film),True
322,1996 (69th),Canhead,Timothy Hittle & Chris Peterson,,False
