,Directed by,Written by,Screenplay by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Title,Based on,Language,Release date,Color process,Productioncompanies,Countries,Narrated by,Adaptation by,Suggested by,Narration by,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Hangul,Hanja,Revised Romanization,McCune–Reischauer,Kana,Revised Hepburn,French,Dialogue by,Literally,Country of origin,Original language,Producer,Release,Brazilian Portuguese,Polish,Danish,Native name,Born,Died,Occupation,Nationality,Period,Created by,Alias,Affiliation,Spouse,Religion,Origin,Italian,First appearance,Last appearance,Portrayed by,Gender,Family,Children,Resting place,Education,Years active,Known for,Board member of,Partner,Relatives,Awards,Spanish,Full name,Tenure,Cause of death,Burial,Issue,House,Father,Mother,Signature,Venerated in,Beatified,Canonized,Feast,Patronage,Voiced by,Reign,Coronation,Predecessor,Successor,Regents,Alma mater,Notable work,Spouses,Portuguese,Occupation(s),Literal meaning,Jyutping,German,Animation by,Kanji,Theme song by,Trade name,Company type,Industry,Predecessors,Founded,Founders,Headquarters,Number of locations,Area served,Key people,Products,Number of employees,Parent,Divisions,Subsidiaries,Website,Founder,Defunct,Layouts by,Original title,Genre(s),Published in,Publication date,Backgrounds by,Author,Cover artist,Genre,Publisher,Media type,OCLC,Preceded by,Followed by,Illustrator,Published,Pages,Related,Original work,Book(s),Film(s),Short film(s),Animated series,Direct-to-video,Video game(s),Toy(s),Voices of,Theme music composer,Composer,Producers,Network,Author(s),Current status/schedule,Launch date,Syndicate(s),Preceded by,Editor,Production company,ISBN,No. of series,No. of episodes,Director,Distributor,Released,Runtime,Set in,Dewey Decimal,LC Class,Text,Executive producers,Original languages,Production companies,Directed by,Produced by,Written by,Music by,Studio,Licensed by,Developer,Designed by,Engine,Platform,Hebrew,Presented by,No. of seasons,Occupations,Length,Label,Music,Lyrics,Book,Productions,Recorded,Screen story by,Additional dialogue by,Dialogues by,Visual effects by,Original screenplay by,Katakana,Norwegian,Episode no.,Featured music,Editing by,Original air date,po,Russian,Executive producer,Production locations,Editors,Also known as,Opening theme,Production location,Romanian,Ukrainian,Arabic,Swedish
1313,Marlon Brando,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Guy Trosper
Calder Willingham
Uncredited:
Rod Serling
Sam Peckinpah
",,Frank P. Rosenberg,", 
Marlon Brando
Karl Malden
Katy Jurado
Ben Johnson
Pina Pellicer
",Charles Lang,Archie Marshek,Hugo Friedhofer,Pennebaker Productions,Paramount Pictures,,141 minutes,United States,"English, , Spanish","$6 million, [2], [3]","$4.3 million (US/Canada rentals), [4]",https://en.wikipedia.org/wiki/One-Eyed_Jacks,"The Authentic Death of Hendry Jones, , by , Charles Neider",,", 
March 30, 1961 (1961-03-30) (New York City)[1]
",Technicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,Robert Wise,"William Gibson, , Isobel Lennart",,,Walter Mirisch,"Robert Mitchum, , Shirley MacLaine",Ted D. McCord,Stuart Gilmore,André Previn,,United Artists,,119 minutes,United States,,"$3 million, [1]","$1,750,000 (US/ Canada rentals), [2]",https://en.wikipedia.org/wiki/Two_for_the_Seesaw_(1962_film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 21, 1962 (1962-11-21)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315,Mervyn LeRoy,,Leonard Spigelgass,,Mervyn LeRoy,"Rosalind Russell, , Natalie Wood, , Karl Malden",Harry Stradling,Philip W. Anderson,"Jule Styne, , Lyrics by:, , Stephen Sondheim, , Music arranged and conducted by, , Frank Perkins",,Warner Bros.,,143 minutes,United States,English (intertitles and talking sequences),$4 million,"$11,076,923, [1]",https://en.wikipedia.org/wiki/Gypsy_(1962_film),Gypsy: A Musical Fable1959 musicalby Arthur LaurentsJule StyneStephen SondheimGypsy: A Memoir1957 novel by Gypsy Rose Lee,,", 
November 1, 1962 (1962-11-01)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,Howard Hawks,,Leigh Brackett,Harry Kurnitz,"Howard Hawks, , Paul Helmick (associate)","John Wayne, , Hardy Krüger, , Elsa Martinelli, , Red Buttons",Russell Harlan,Stuart Gilmore,Henry Mancini,,Paramount Pictures,,157 minutes,United States,,,"$12,923,077, [1]",https://en.wikipedia.org/wiki/Hatari!,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
May 29, 1962 (1962-05-29)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,"Henry Levin, , George Pal,  (fairy tale sequences)",,"Charles Beaumont, , William Roberts, , David P. Harmon",David P. Harmon,George Pal,"Laurence Harvey, , Claire Bloom, , Karlheinz Böhm, , Barbara Eden, , Walter Slezak, , Oscar Homolka, , Yvette Mimieux, , Russ Tamblyn, , Jim Backus, , Beulah Bondi, , Terry-Thomas, , Buddy Hackett",Paul C. Vogel,Walter A. Thompson,"Leigh Harline, , Bob Merrill,  (songs)",,"Metro-Goldwyn-Mayer, , Cinerama Releasing Corporation",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 7, 1962 (1962-08-07) (United States)
September 19, 1963 (1963-09-19) (Berlin[1])
",135 minutes,,,"$6.25 million, [2], [3],  or $6 million, [4]","$8.9 million, [5]",https://en.wikipedia.org/wiki/The_Wonderful_World_of_the_Brothers_Grimm,"Die Brüder Grimm, , 1952 book, , by Hermann Gerstner",English,,,George Pal ProductionsAvernus Productions,"United States, , West Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Joseph Strick,"Jean Genet, , Ben Maddow",,,"Ben Maddow, , Joseph Strick","Shelley Winters, , Peter Falk, , Leonard Nimoy, , Ruby Dee, , Lee Grant",George J. Folsey,Chester W. Schaeffer,,,Continental Distributing,,84 minutes,United States,,"$165,000, [1]","$1,200,000 (US/Canada), [2]",https://en.wikipedia.org/wiki/The_Balcony_(film),,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
March 21, 1963 (1963-03-21)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,Hall Bartlett,,Henry F. Greenberg,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Hall Bartlett
Jerry Paris
",Hall Bartlett,"Robert Stack, , Polly Bergen, , Joan Crawford, , Janis Paige, , Diane McBain, , Van Williams, , Constance Ford, , Sharon Hugueny, , Herbert Marshall, , Ana St. Clair, , Barbara Barrie, , Robert Vaughn, , Susan Oliver","Lucien Ballard, , , A.S.C.","William B. Murphy, , , A.C.E.",Elmer Bernstein,"Hall Bartlett Productions, Inc.",United Artists,,97 minutes,United States,,,"$2,050,000 (US/Canada), [1],  $1,110,000 (Foreign) , [2], [page needed], [3]",https://en.wikipedia.org/wiki/The_Caretakers,the book by Dariel Telfer,English,"August 21, 1963,  (1963-08-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Stanley Kramer,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, William RoseTania Rose",,,Stanley Kramer,", 
Spencer Tracy
Milton Berle
Sid Caesar
Buddy Hackett
Ethel Merman
Mickey Rooney
Dick Shawn
Phil Silvers
Terry-Thomas
Jonathan Winters
Edie Adams
Dorothy Provine
",Ernest Laszlo,", Frederic KnudtsonRobert C. JonesGene Fowler Jr.",Ernest Gold,Casey Productions,United Artists,,", 159-163 minutes (general release)192 minutes (Cinerama Dome premiere)197 minutes (2014 Criterion Collection extended version)202 minutes (original cut envisioned by Stanley Kramer)",United States,,"$9.4 million, [1]","$60 million, [2]","https://en.wikipedia.org/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",,English,", 
November 7, 1963 (1963-11-07)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,Arthur Hiller,,Paddy Chayefsky,,Martin Ransohoff,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
James Garner
Julie Andrews
Melvyn Douglas
",Philip H. Lathrop,Tom McAdoo,Johnny Mandel,Filmways,Metro-Goldwyn-Mayer,", 
October 27, 1964 (1964-10-27) (US)
April 15, 1965 (1965-04-15) (UK[1])
",115 minutes,United States,,"$2.7 million, [2]","$4,000,000 , (rentals), [3]",https://en.wikipedia.org/wiki/The_Americanization_of_Emily,"The Americanization of Emily, , 1959 novel, , by , William Bradford Huie",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322,Ralph Nelson,,Harold Medford,,Aaron Rosenberg,"Glenn Ford, , Suzanne Pleshette, , Nancy Kwan, , Rod Taylor",Milton R. Krasner,Robert L. Simpson,Jerry Goldsmith,Arcola Pictures Corp.,20th Century Fox,,106 minutes,United States,,"$2,525,000, [1]","$2.2 million, [2]",https://en.wikipedia.org/wiki/Fate_Is_the_Hunter_(film),"Fate Is the Hunter, , by , Ernest K. Gann",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
November 8, 1964 (1964-11-08)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1323,Robert Aldrich,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Henry Farrell
Lukas Heller
",,Robert Aldrich,", 
Bette Davis
Olivia de Havilland
Joseph Cotten
Agnes Moorehead
Cecil Kellaway
Mary Astor
",Joseph Biroc,Michael Luciano,Frank De Vol,,20th Century-Fox,,133 minutes,United States,,"$2.2 million, [2]","$4 million , (rentals), [3]","https://en.wikipedia.org/wiki/Hush...Hush,_Sweet_Charlotte","""What Ever Happened to Cousin Charlotte?"", , by Henry Farrell",English,", 
December 16, 1964 (1964-12-16)[1]
",,The Associates and Aldrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,John Huston,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Anthony Veiller
John Huston
",,Ray Stark,", 
Richard Burton
Ava Gardner
Deborah Kerr
Grayson Hall
Cyril Delevanti
Sue Lyon
",Gabriel Figueroa,Ralph Kemplen,Benjamin Frankel,Seven Arts Productions,Metro-Goldwyn-Mayer,,"125 minutes (original), , 118 minutes, , (TCM print and edited version)",United States,,"$3 million, [1]","$12 million, [1]",https://en.wikipedia.org/wiki/The_Night_of_the_Iguana_(film),"The Night of the Iguana, , 1961 play, , by , Tennessee Williams",English,", 
August 6, 1964 (1964-08-06) (New York City)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,John Ford,,James R. Webb,,Bernard Smith,"Richard Widmark, , Carroll Baker, , Karl Malden, , Sal Mineo, , Dolores del Río, , Ricardo Montalbán, , Gilbert Roland, , Arthur Kennedy, , James Stewart, , Edward G. Robinson",William Clothier,Otho Lovering,Alex North,A John Ford - Bernard Smith Production,Warner Bros.,,154 minutes,United States,,,"$3,500,000 (US/ Canada rentals), [1]",https://en.wikipedia.org/wiki/Cheyenne_Autumn,"Suggested by , Cheyenne Autumn,  by , Mari Sandoz",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 3, 1964 (1964-10-03)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,Otto Preminger,,Wendell Mayes,,Otto Preminger,"John Wayne, , Kirk Douglas, , Patricia Neal, , Tom Tryon, , Paula Prentiss, , Brandon deWilde, , Jill Haworth, , Dana Andrews, , Henry Fonda",Loyal Griggs,"George Tomasini, , Hugh S. Fowler",Jerry Goldsmith,,Paramount Pictures,,165 minutes,United States,,,"$4,500,000 (US/Canada rentals), [1]",https://en.wikipedia.org/wiki/In_Harm%27s_Way,"Harm's Way, , 1962 novel, , by , James Bassett",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
April 6, 1965 (1965-04-06)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327,Bryan Forbes,,Bryan Forbes,,James Woolf,"George Segal, , Tom Courtenay, , James Fox, , Denholm Elliott, , Todd Armstrong, , Patrick O'Neal, , James Donald, , John Mills",Burnett Guffey,Walter Thompson,John Barry,,Columbia Pictures,,134 minutes,United States,,,,https://en.wikipedia.org/wiki/King_Rat_(film),"King Rat, , 1962 novel, , by , James Clavell",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 27, 1965 (1965-10-27) (New York City)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,Bernhard Wicki,,Daniel Taradash,,Aaron Rosenberg,"Marlon Brando, , Yul Brynner, , Janet Margolin, , Trevor Howard, , Wally Cox",Conrad L. Hall,Joseph Silver,Jerry Goldsmith,,Twentieth Century-Fox,,123 minutes,United States,,"$6,290,000, [1]","$3,000,000, [2]",https://en.wikipedia.org/wiki/Morituri_(1965_film),"Morituri, , (1958 novel), , by , Werner Jörg Lüddecke,  [de]",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
August 25, 1965 (1965-08-25)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,Carol Reed,,Philip Dunne,,Carol Reed,"Charlton Heston, , Rex Harrison, , Diane Cilento, , Harry Andrews, , Alberto Lupo",Leon Shamroy,Samuel E. Beetley,"Jerry Goldsmith, , Alex North",International Classics,20th Century Fox,,138 minutes,United States,,"$7 million, [1]","$8 million, [2]",https://en.wikipedia.org/wiki/The_Agony_and_the_Ecstasy_(film),"The Agony and the Ecstasy, , 1961 novel, , by , Irving Stone",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 7, 1965 (1965-10-07)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330,Blake Edwards,,Arthur A. Ross,"Blake Edwards, , Arthur A. Ross",Martin Jurow,"Jack Lemmon, , Tony Curtis, , Natalie Wood, , Peter Falk, , Keenan Wynn, , Arthur O'Connell, , Vivian Vance",Russell Harlan,Ralph E. Winters,Henry Mancini,,Warner Bros.,,160 minutes,United States,,US$12 million,"US$25,333,333, [1]",https://en.wikipedia.org/wiki/The_Great_Race,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
July 1, 1965 (1965-07-01)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331,George Stevens,,"George Stevens, , James Lee Barrett",,George Stevens,"Max von Sydow, , José Ferrer, , Charlton Heston, , Dorothy McGuire","Loyal Griggs, , William C. Mellor","Harold F. Kress, , Argyle Nelson Jr., , Frank O'Neil",Alfred Newman,George Stevens Productions,United Artists,,"199 minutes, , (see below)",United States,,"$20 million, [1]","$15.5 million, [2]",https://en.wikipedia.org/wiki/The_Greatest_Story_Ever_Told,"The Greatest Story Ever Told, , by , Fulton Oursler, , Henry Denker, , Bible",English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
February 15, 1965 (1965-02-15) (United States)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332,Billy Wilder,"Billy Wilder, , I.A.L. Diamond",,,Billy Wilder,"Jack Lemmon, , Walter Matthau, , Ron Rich, , Cliff Osmond, , Judi West",Joseph LaShelle,Daniel Mandell,André Previn,,United Artists,,125 minutes,,,"$3,705,000","$6,800,000, [2]",https://en.wikipedia.org/wiki/The_Fortune_Cookie,,English,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
October 19, 1966 (1966-10-19) (NYC)[1]
",,The Mirisch CorporationPhalanx ProductionsJalem Productions[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333,René Clément,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, Gore VidalFrancis Ford CoppolaJean AurenchePierre BostClaude Brulé",,Paul Graetz,", 
Jean-Paul Belmondo
Charles Boyer
Leslie Caron
Jean-Pierre Cassel
George Chakiris
Alain Delon
Kirk Douglas
Glenn Ford
Gert Fröbe
Yves Montand
Anthony Perkins
Simone Signoret
Robert Stack
Marie Versini
Skip Ward
Orson Welles
",Marcel Grignon,Robert Lawrence,Maurice Jarre,,Paramount Pictures,", 
26 October 1966 (1966-10-26) (France)
10 November 1966 (1966-11-10) (U.S.)
",173 minutes,,,,"$37.1 million, [1]",https://en.wikipedia.org/wiki/Is_Paris_Burning%3F_(film),"Is Paris Burning, , by , Larry Collins, , Dominique Lapierre",,,,Seven Arts ProductionsMarianne ProductionsTranscontinental Films,", FranceUnited States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334,John Frankenheimer,,Lewis John Carlino,,Edward Lewis,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}, 
Rock Hudson
Salome Jens
Will Geer
John Randolph
",James Wong Howe,"David Newhouse, , Ferris Webster",Jerry Goldsmith,,Paramount Pictures,", 
May 16, 1966 (1966-05-16) (Cannes)
October 5, 1966 (1966-10-05) (New York City)
November 9, 1966 (1966-11-09) (Los Angeles)
","107 minutes, [1]",United States,,$2.5 million,"$1.75 million (US/Canada rentals), [2]",https://en.wikipedia.org/wiki/Seconds_(1966_film),"Seconds, , 1963 novel, , by David Ely",English,,,Joel ProductionsJohn Frankenheimer ProductionsGibraltar Productions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
