,Year,Actor,Role(s),Film,Ref.,FilmLink,Won,Record,Age (in years)
161,1968 (41st),Seymour Cassel,Chet,Faces,[42],/wiki/Faces_(1968_film),False,,
162,1968 (41st),Daniel Massey,Noël Coward,Star!,[42],/wiki/Star!_(film),False,,
163,1968 (41st),Jack Wild,The Artful Dodger,Oliver!,[42],/wiki/Oliver!_(film),False,,
164,1968 (41st),Gene Wilder,Leo Bloom,The Producers,[42],/wiki/The_Producers_(1967_film),False,,
165,1969 (42nd),Gig Young ‡,Rocky Graver,"They Shoot Horses, Don't They?",[43],"/wiki/They_Shoot_Horses,_Don%27t_They%3F_(film)",True,,
166,1969 (42nd),Rupert Crosse,Ned McCaslin,The Reivers,[43],/wiki/The_Reivers_(film),False,,
167,1969 (42nd),Elliott Gould,Ted Henderson,Bob & Carol & Ted & Alice,[43],/wiki/Bob_%26_Carol_%26_Ted_%26_Alice,False,,
168,1969 (42nd),Jack Nicholson,George Hanson,Easy Rider,[43],/wiki/Easy_Rider,False,,
169,1969 (42nd),Anthony Quayle,Cardinal Thomas Wolsey,Anne of the Thousand Days,[43],/wiki/Anne_of_the_Thousand_Days,False,,
170,1970 (43rd),John Mills ‡,Michael,Ryan's Daughter,[44],/wiki/Ryan%27s_Daughter,True,,
171,1970 (43rd),Richard S. Castellano,Frank Vecchio,Lovers and Other Strangers,[44],/wiki/Lovers_and_Other_Strangers,False,,
172,1970 (43rd),Chief Dan George,Old Lodge Skins,Little Big Man,[44],/wiki/Little_Big_Man_(film),False,,
173,1970 (43rd),Gene Hackman,Gene Garrison,I Never Sang for My Father,[44],/wiki/I_Never_Sang_for_My_Father,False,,
174,1970 (43rd),John Marley,Phil Cavalleri,Love Story,[44],/wiki/Love_Story_(1970_film),False,,
175,1971 (44th),Ben Johnson ‡,Sam the Lion,The Last Picture Show,[45],/wiki/The_Last_Picture_Show,True,,
176,1971 (44th),Jeff Bridges,Duane Jackson,The Last Picture Show,[45],/wiki/The_Last_Picture_Show,True,,
177,1971 (44th),Leonard Frey,Motel Kamzoil,Fiddler on the Roof,[45],/wiki/Fiddler_on_the_Roof_(film),False,,
178,1971 (44th),Richard Jaeckel,Joe Ben Stamper,Sometimes a Great Notion,[45],/wiki/Sometimes_a_Great_Notion_(film),False,,
179,1971 (44th),Roy Scheider,"Buddy ""Cloudy"" Russo",The French Connection,[45],/wiki/The_French_Connection_(film),False,,
180,1972 (45th),Joel Grey ‡,The Master of Ceremonies,Cabaret,[46],/wiki/Cabaret_(1972_film),True,,
181,1972 (45th),Eddie Albert,Mr. Corcoran,The Heartbreak Kid,[46],/wiki/The_Heartbreak_Kid_(1972_film),False,,
182,1972 (45th),James Caan,"Santino ""Sonny"" Corleone",The Godfather,[46],/wiki/The_Godfather,False,,
183,1972 (45th),Robert Duvall,Tom Hagen,The Godfather,[46],/wiki/The_Godfather,False,,
184,1972 (45th),Al Pacino,Michael Corleone,The Godfather,[46],/wiki/The_Godfather,False,,
185,1973 (46th),John Houseman ‡,Charles W. Kingsfield Jr.,The Paper Chase,[47],/wiki/The_Paper_Chase_(film),True,,
186,1973 (46th),Vincent Gardenia,Dutch Schnell,Bang the Drum Slowly,[47],/wiki/Bang_the_Drum_Slowly_(film),False,,
187,1973 (46th),Jack Gilford,Phil Greene,Save the Tiger,[47],/wiki/Save_the_Tiger,False,,
188,1973 (46th),Jason Miller,Father Damien Karras,The Exorcist,[47],/wiki/The_Exorcist,False,,
189,1973 (46th),Randy Quaid,Larry Meadows,The Last Detail,[47],/wiki/The_Last_Detail,False,,
190,1974 (47th),Robert De Niro ‡,Vito Corleone,The Godfather Part II,[48],/wiki/The_Godfather_Part_II,True,,
