,Year,Film,Nominees,FilmLink,Won,Unnamed: 3
219,1957 (30th),Gunfight at the O.K. Corral,"Paramount Studio Sound Department, George Dutton",/wiki/Gunfight_at_the_O.K._Corral_(film),False,
220,1957 (30th),Les Girls,"Metro-Goldwyn-Mayer Studio Sound Department, Wesley C. Miller",/wiki/Les_Girls,False,
221,1957 (30th),Pal Joey,"Columbia Studio Sound Department, John P. Livadary",/wiki/Pal_Joey_(film),False,
222,1957 (30th),Witness for the Prosecution,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/Witness_for_the_Prosecution_(1957_film),False,
223,1958 (31st),,,,False,
224,1958 (31st),South Pacific,"Todd-AO Studio Sound Department, Fred Hynes",/wiki/South_Pacific_(1958_film),True,
225,1958 (31st),I Want to Live!,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer",/wiki/I_Want_to_Live!,False,
226,1958 (31st),A Time to Love and a Time to Die,"Universal-International Studio Sound Department, Leslie I. Carey",/wiki/A_Time_to_Love_and_a_Time_to_Die,False,
227,1958 (31st),Vertigo,"Paramount Studio Sound Department, George Dutton",/wiki/Vertigo_(film),False,
228,1958 (31st),The Young Lions,"20th Century-Fox Studio Sound Department, Carl Faulkner",/wiki/The_Young_Lions_(film),False,
229,1959 (32nd),,,,False,
230,1959 (32nd),Ben-Hur,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton",/wiki/Ben-Hur_(1959_film),True,
231,1959 (32nd),Journey to the Center of the Earth,"20th Century-Fox Studio Sound Department, Carl Faulkner",/wiki/Journey_to_the_Center_of_the_Earth_(1959_film),False,
232,1959 (32nd),Libel,"Metro-Goldwyn-Mayer Studio Sound Department, A. W. Watkins",/wiki/Libel_(film),False,
233,1959 (32nd),The Nun's Story,"Warner Bros. Studio Sound Department, George Groves",/wiki/The_Nun%27s_Story_(film),False,
