,Year,Film,Nominees,Source Material,FilmLink,Won,Record,Writer,Age,Ref.
193,1967 (40th),The Graduate,Buck Henry & Calder Willingham,The novella by Charles Webb,/wiki/The_Graduate,False,,,,
194,1967 (40th),In Cold Blood,Richard Brooks,The book by Truman Capote,/wiki/In_Cold_Blood_(film),False,,,,
195,1967 (40th),Ulysses,Fred Haines & Joseph Strick,The novel by James Joyce,/wiki/Ulysses_(1967_film),False,,,,
196,1968 (41st),The Lion in Winter,James Goldman,The play by Goldman,/wiki/The_Lion_in_Winter_(1968_film),True,,,,
197,1968 (41st),The Odd Couple,Neil Simon,The play by Simon,/wiki/The_Odd_Couple_(film),False,,,,
198,1968 (41st),Oliver!,Vernon Harris,The musical by Lionel Bart,/wiki/Oliver!_(film),False,,,,
199,1968 (41st),"Rachel, Rachel",Stewart Stern,The novel A Jest of God by Margaret Laurence,"/wiki/Rachel,_Rachel",False,,,,
200,1968 (41st),Rosemary's Baby,Roman Polanski,The novel by Ira Levin,/wiki/Rosemary%27s_Baby_(film),False,,,,
201,1969 (42nd),Midnight Cowboy,Waldo Salt,The novel by James Leo Herlihy,/wiki/Midnight_Cowboy,True,,,,
202,1969 (42nd),Anne of the Thousand Days,Screenplay: Bridget Boland & John Hale; Adaptation: Richard Sokolove,The play by Maxwell Anderson,/wiki/Anne_of_the_Thousand_Days,False,,,,
203,1969 (42nd),"Goodbye, Columbus",Arnold Schulman,The novella by Philip Roth,"/wiki/Goodbye,_Columbus_(film)",False,,,,
204,1969 (42nd),"They Shoot Horses, Don't They?",James Poe & Robert E. Thompson,The novel by Horace McCoy,"/wiki/They_Shoot_Horses,_Don%27t_They%3F_(film)",False,,,,
205,1969 (42nd),Z,Costa-Gavras & Jorge Semprún,The novel by Vassilis Vassilikos,/wiki/Z_(1969_film),False,,,,
206,1970 (43rd),M*A*S*H,Ring Lardner Jr.,The novel MASH: A Novel About Three Army Doctors by Richard Hooker,/wiki/MASH_(film),True,,,,
207,1970 (43rd),Airport,George Seaton,The novel by Arthur Hailey,/wiki/Airport_(1970_film),False,,,,
208,1970 (43rd),I Never Sang for My Father,Robert Anderson,The play by Anderson,/wiki/I_Never_Sang_for_My_Father,False,,,,
209,1970 (43rd),Lovers and Other Strangers,"Joseph Bologna, David Zelag Goodman & Renée Taylor",The play by Bologna & Taylor,/wiki/Lovers_and_Other_Strangers,False,,,,
210,1970 (43rd),Women in Love,Larry Kramer,The novel by D. H. Lawrence,/wiki/Women_in_Love_(film),False,,,,
211,1971 (44th),The French Connection,Ernest Tidyman,The book The French Connection: The World's Most Crucial Narcotics Investigation by Robin Moore,/wiki/The_French_Connection_(film),True,,,,
212,1971 (44th),A Clockwork Orange,Stanley Kubrick,The novel by Anthony Burgess,/wiki/A_Clockwork_Orange_(film),False,,,,
213,1971 (44th),The Conformist,Bernardo Bertolucci,The novel by Alberto Moravia,/wiki/The_Conformist_(1970_film),False,,,,
214,1971 (44th),The Garden of the Finzi-Continis,Vittorio Bonicelli & Ugo Pirro,The novel by Giorgio Bassani,/wiki/The_Garden_of_the_Finzi-Continis_(film),False,,,,
215,1971 (44th),The Last Picture Show,Peter Bogdanovich & Larry McMurtry,The novel by McMurtry,/wiki/The_Last_Picture_Show,False,,,,
216,1972 (45th),The Godfather,Francis Ford Coppola & Mario Puzo,The novel by Puzo,/wiki/The_Godfather,True,,,,
217,1972 (45th),Cabaret,Jay Presson Allen,The musical by Joe Masteroff,/wiki/Cabaret_(1972_film),False,,,,
218,1972 (45th),The Emigrants,Bengt Forslund & Jan Troell,The novels The Emigrants & Unto a Good Land by Vilhelm Moberg,/wiki/The_Emigrants_(film),False,,,,
219,1972 (45th),Pete 'n' Tillie,Julius J. Epstein,The novella Witch's Milk by Peter De Vries,/wiki/Pete_%27n%27_Tillie,False,,,,
220,1972 (45th),Sounder,Lonne Elder III,The novel by William H. Armstrong,/wiki/Sounder_(film),False,,,,
221,1973 (46th),The Exorcist,William Peter Blatty,The novel by Blatty,/wiki/The_Exorcist,True,,,,
222,1973 (46th),The Last Detail,Robert Towne,The novel by Darryl Ponicsan,/wiki/The_Last_Detail,False,,,,
223,1973 (46th),The Paper Chase,James Bridges,The novel by John Jay Osborn Jr.,/wiki/The_Paper_Chase_(film),False,,,,
224,1973 (46th),Paper Moon,Alvin Sargent,The novel Addie Pray by Joe David Brown,/wiki/Paper_Moon_(film),False,,,,
225,1973 (46th),Serpico,Waldo Salt & Norman Wexler,The book Serpico: The Cop Who Defied the System by Peter Maas,/wiki/Serpico,False,,,,
226,1974 (47th),The Godfather Part II,Francis Ford Coppola & Mario Puzo,The novel The Godfather by Puzo,/wiki/The_Godfather_Part_II,True,,,,
227,1974 (47th),The Apprenticeship of Duddy Kravitz,Screenplay: Mordecai Richler; Adaptation: Lionel Chetwynd,The novel by Richler,/wiki/The_Apprenticeship_of_Duddy_Kravitz_(film),False,,,,
228,1974 (47th),Lenny,Julian Barry,The play by Barry,/wiki/Lenny_(film),False,,,,
229,1974 (47th),Murder on the Orient Express,Paul Dehn,The novel by Agatha Christie,/wiki/Murder_on_the_Orient_Express_(1974_film),False,,,,
